"id","Q3Q1Q2_participation","Q3Q1Q2_exprimes","Q3Q1Q2_nuls","Q3Q1Q2_blancs","Q3Q1Q2_CAND_01","Q3Q1Q2_CAND_02","Q3Q1Q2_CAND_03","Q3Q1Q2_CAND_04","Q3Q1Q2_CAND_05","Q3Q1Q2_CAND_06","Q3Q1Q2_CAND_07","Q3Q1Q2_CAND_08","Q3Q1Q2_CAND_09","Q3Q1Q2_CAND_10","Q3Q1Q2_CAND_11","Q3Q1Q2_CAND_12","Q3Q1Q2_CAND_13","Q3Q1Q2_CAND_14","Q3Q1Q2_CAND_15","Q3Q1Q2_CAND_16","Q3Q1Q2_CAND_17","Q3Q1Q2_CAND_18","Q3Q1Q2_CAND_19","Q3Q1Q2_CAND_20","Q3Q1Q2_CAND_21","Q3Q1Q2_CAND_22","Q3Q1Q2_CAND_23","Q3Q1Q2_CAND_24","Q3Q1Q2_CAND_25","Q3Q1Q2_CAND_26","Q3Q1Q2_CAND_27"
"TN111",0.179,0.014,1.302,1.044,Inf,NaN,0.94,0.892,NaN,1.25,0.28,1.34,NaN,Inf,1,NaN,0.711,Inf,NaN,2.208,NaN,NaN,NaN,Inf,2.815,NaN,0.708,0.562,1.227,1.034,0.844
"TN112",0.124,0.019,1.476,0.819,Inf,NaN,0.964,0.681,Inf,Inf,0.363,0.632,NaN,Inf,0.575,Inf,0.44,1.128,NaN,1.934,Inf,NaN,NaN,Inf,2.667,NaN,0.867,0.278,Inf,0.715,0.687
"TN113",0.14,0.011,1.271,1.667,NaN,NaN,0.973,1.029,NaN,Inf,0.446,0.505,NaN,Inf,1.037,NaN,0.667,Inf,NaN,1.923,NaN,NaN,NaN,Inf,1.036,NaN,0.707,0.49,Inf,0.907,0.817
"TN114",0.142,0.024,1.443,1.457,Inf,NaN,0.851,0.615,NaN,Inf,0.266,0.462,NaN,Inf,1.038,NaN,0.812,Inf,NaN,1.788,NaN,NaN,NaN,Inf,1.191,Inf,0.608,0.236,1.865,0.689,0.78
"TN115",0.169,0.03,2.304,2.511,Inf,NaN,0.87,0.632,NaN,1.386,0.264,0.712,Inf,Inf,0.91,Inf,0.794,Inf,NaN,1.935,Inf,Inf,Inf,Inf,0.929,NaN,0.806,0.358,Inf,0.587,0.513
"TN116",0.149,0.015,1.5,1.295,Inf,NaN,0.956,0.758,NaN,Inf,0.329,0.405,Inf,Inf,0.767,Inf,0.705,Inf,Inf,1.044,Inf,Inf,Inf,Inf,1.52,NaN,0.993,0.244,Inf,0.512,0.725
"TN117",0.089,0.011,1.176,1.042,Inf,NaN,1.281,0.992,Inf,Inf,0.283,0.335,NaN,1.146,0.881,Inf,0.753,Inf,NaN,0.582,NaN,Inf,NaN,1.196,0.867,NaN,0.673,0.154,1.205,0.627,0.718
"TN118",0.149,0.007,1.826,1.955,NaN,NaN,1,0.943,NaN,Inf,0.236,0.801,NaN,Inf,1.462,NaN,0.717,1.421,NaN,1.607,NaN,NaN,NaN,Inf,1.406,NaN,0.769,0.468,Inf,0.975,0.987
"TN119",0.127,0.008,1.694,2.167,Inf,NaN,0.72,0.623,NaN,Inf,0.491,0.515,Inf,Inf,2.042,NaN,0.62,Inf,Inf,0.72,NaN,NaN,NaN,2.024,1.963,NaN,0.83,0.477,Inf,1.26,0.847
"TN11A",0.133,0.008,1.543,1.138,NaN,NaN,0.985,0.727,NaN,Inf,0.309,0.642,NaN,Inf,1.025,NaN,0.701,Inf,NaN,0.709,NaN,NaN,NaN,Inf,1.156,NaN,0.768,0.253,Inf,0.742,0.695
"TN11B",0.133,0.043,1.563,2.139,Inf,Inf,3.05,0.951,0.945,2.5,0.126,0.509,Inf,Inf,1,NaN,0.541,Inf,NaN,Inf,NaN,Inf,Inf,0.722,1.172,Inf,1.238,0.185,Inf,0.673,0.788
"TN11C",0.112,0.025,1.674,1.219,2.614,NaN,1.178,0.681,Inf,Inf,0.257,0.436,NaN,Inf,1.085,NaN,0.662,Inf,Inf,1.465,Inf,NaN,NaN,1.912,1.617,NaN,1.283,0.223,Inf,0.779,0.457
"TN11D",0.135,0.025,1.533,1.464,Inf,NaN,0.881,1.151,Inf,Inf,0.312,0.437,Inf,Inf,1.2,NaN,0.74,Inf,Inf,1.117,Inf,Inf,Inf,Inf,2.355,NaN,0.828,0.192,1.292,0.587,0.516
"TN11E",0.183,0.025,1.876,1.352,Inf,NaN,2.103,0.934,1.548,1.311,0.348,0.383,Inf,Inf,1.103,Inf,1.064,Inf,Inf,1.659,Inf,Inf,Inf,Inf,2.152,NaN,1.164,0.234,Inf,0.521,0.472
"TN11F",0.134,0.016,1.074,1.133,Inf,NaN,1.034,1.133,NaN,Inf,0.331,0.391,NaN,Inf,1.067,Inf,0.802,1.234,Inf,2.553,NaN,NaN,NaN,Inf,0.906,NaN,0.941,0.201,Inf,0.638,0.589
"TN11G",0.132,0.017,2.071,1.25,Inf,Inf,1.291,0.986,Inf,Inf,0.321,0.357,Inf,Inf,1.373,Inf,0.737,Inf,Inf,2,Inf,Inf,NaN,Inf,1.2,NaN,0.924,0.22,Inf,0.694,0.552
"TN11H",0.131,0.027,1.874,2.783,Inf,NaN,1.343,1.204,NaN,1.174,0.293,0.748,Inf,Inf,1.155,Inf,1.015,Inf,Inf,1.12,Inf,NaN,Inf,Inf,2.182,NaN,1.216,0.217,Inf,0.916,0.601
"TN11I",0.139,0.044,2.161,1.803,1.984,NaN,1.015,0.775,NaN,Inf,0.262,0.51,Inf,Inf,1.041,Inf,0.737,Inf,Inf,1.779,Inf,Inf,Inf,Inf,2.281,NaN,0.698,0.264,Inf,0.559,0.355
