Code_unité,Type_d'objet,Version,id_old,id,name_latin,Nom_arabe,Inscrits,Votants,V_exprm,V_nuls,V_blancs,CAND_01,CAND_02,CAND_03,CAND_04,CAND_05,CAND_06,CAND_07,CAND_08,CAND_09,CAND_10,CAND_11,CAND_12,CAND_13,CAND_14,CAND_15,CAND_16,CAND_17,CAND_18,CAND_19,CAND_20,CAND_21,CAND_22,CAND_23,CAND_24,CAND_25,CAND_26,CAND_27,Total_T1,Erreur
1040403502,bureau de vote,2014,TN11G,TN11G,El Kabaria,م إبتدائية الكبارية 3 - الكبارية (4)  مكتب 2,574,447,N/A,N/A,N/A,1,0,2,4,1,0,159,44,1,0,2,1,4,0,4,2,1,1,0,0,6,2,7,161,0,6,18,427,#VALUE!
2030402103,bureau de vote,2014,TN116,TN116,Elomrane Supérieur,م إبتدائية الشابي - العمران الاعلى   مكتب 3,578,N/A,N/A,N/A,N/A,1,1,0,6,0,0,146,21,1,0,8,0,5,1,0,3,0,1,0,0,3,1,9,115,0,15,37,374,#VALUE!
2040503006,bureau de vote,2014,TN11K,TN11K,lE Kram,م إبتدائية سيدي عمر الكرم الغربي  مكتب 6,549,302,N/A,N/A,N/A,0,0,4,1,0,1,153,23,1,0,0,0,2,0,1,0,0,0,0,1,0,0,3,78,0,4,28,300,#VALUE!
2060405403,bureau de vote,2014,TN118,TN118,El Menzah,م إبتدائية المنار 1 - المنار(1)  مكتب 3,559,N/A,N/A,N/A,N/A,0,0,5,5,0,1,286,6,0,0,4,0,2,0,0,1,0,0,0,0,2,0,4,97,0,6,42,461,#VALUE!
2080307308,bureau de vote,2014,TN11J,TN11J,La Goulette,م إبتدائية العوينة حي الطيب المهيري  مكتب 8,N/A,N/A,N/A,N/A,N/A,1,0,6,5,0,0,164,35,0,0,5,0,3,0,0,5,0,0,0,0,2,0,3,82,4,8,92,415,#VALUE!
3110311901,bureau de vote,2014,TN13C,TN13C,Mornag,م إبتدائية بئر الجديد - الخليدية  مكتب 1,556,387,N/A,N/A,N/A,0,0,1,5,2,3,146,22,2,3,5,2,10,0,1,1,1,4,0,0,6,0,5,128,2,13,19,381,#VALUE!
4010100102,bureau de vote,2014,TN121,TN121,Ariana Ville,م إبتدائية شارع الحرية أريانة الجديدة   مكتب 2,517,462,455,N/A,N/A,0,0,5,3,0,0,301,11,1,2,1,1,1,0,0,0,0,0,1,2,1,0,5,95,0,3,22,455,0
4010300805,bureau de vote,2014,TN121,TN121,Ariana Ville,م إبتدائية المدرسة الدوليـة - اريانة المدينة   مكتب 5,N/A,N/A,N/A,N/A,N/A,0,0,3,1,0,0,97,18,0,0,2,0,4,0,0,7,0,0,0,0,0,0,3,112,0,6,57,310,#VALUE!
4030304204,bureau de vote,2014,TN126,TN126,Cité Ettathamen,م إبتدائية حي التضامن 2 - 18 جانفي  مكتب 4,558,347,N/A,N/A,N/A,0,0,1,1,0,1,102,31,1,1,1,0,3,0,1,2,0,0,0,2,1,0,1,163,1,9,22,344,#VALUE!
4040104805,bureau de vote,2014,TN123,TN123,Raoued,م إبتدائية جعفر 1 - جعفر  مكتب 5,N/A,N/A,N/A,N/A,N/A,1,0,2,3,0,0,126,23,0,0,5,0,11,0,0,6,1,0,0,2,0,0,1,167,0,14,28,390,#VALUE!
