"id","name","Inscrits","Votants","V_exprm","V_nuls","V_blancs","CAND_01","CAND_02","CAND_03","CAND_04","CAND_05","CAND_06","CAND_07","CAND_08","CAND_09","CAND_10","CAND_11","CAND_12","CAND_13","CAND_14","CAND_15","CAND_16","CAND_17","CAND_18","CAND_19","CAND_20","CAND_21","CAND_22","CAND_23","CAND_24","CAND_25","CAND_26","CAND_27","Total_T1"
"TN347","Agareb",18555,13074,12807,169,98,21,15,30,62,22,52,4841,424,30,21,61,11,80,22,14,76,39,27,22,13,115,8,15,5221,11,991,563,12807
"TN225","Ain Drahem",17143,9749,9136,485,128,49,35,44,91,33,52,4381,728,31,54,122,31,148,41,33,61,36,33,38,24,188,21,27,1912,39,332,552,9136
"TN316","Akouda",15278,10820,10684,96,40,21,2,77,685,8,24,6026,169,6,31,67,8,88,19,12,34,12,5,3,11,52,4,30,2296,16,404,574,10684
"TN213","Amdoun",9222,5033,4777,187,69,26,15,16,45,34,23,2602,269,10,16,60,14,56,20,11,41,28,19,13,11,74,6,16,789,16,207,340,4777
"TN121","Ariana Ville",74585,59589,59112,237,240,19,11,445,733,13,78,36603,2135,17,49,219,16,966,102,11,291,17,6,11,39,322,10,433,10286,40,512,5728,59112
"TN113","Bab Bhar",27130,19314,19098,139,77,11,7,151,143,6,31,9944,1304,10,23,122,11,153,21,8,54,5,4,9,24,64,5,193,4322,24,249,2200,19098
"TN114","Bab Souika",17370,12287,12062,144,81,13,6,95,106,5,20,5525,684,8,12,68,5,101,23,4,35,7,3,3,10,67,8,137,3964,38,185,930,12062
"TN229","Balta Bou Aouane",12129,6555,6252,240,63,35,16,28,35,18,24,3217,562,26,35,72,21,91,16,24,50,24,49,16,14,93,10,20,1167,18,221,350,6252
"TN24A","Bargou",6276,3628,3500,88,40,11,1,8,20,6,9,1411,212,14,11,26,3,39,14,5,16,12,9,9,7,37,4,14,433,10,93,1066,3500
"TN211","Béja Nord",29436,19458,18655,608,195,49,12,91,94,20,102,9907,1557,23,46,153,25,193,35,26,80,29,32,22,17,149,12,44,4119,28,364,1426,18655
"TN212","Béja Sud",18066,11826,11362,338,126,39,14,55,80,21,21,6143,769,11,17,81,19,128,15,11,37,14,21,11,12,81,7,40,2457,25,208,1025,11362
"TN329","Bekalta",7873,5010,4941,49,20,12,2,25,196,6,12,2929,75,7,35,13,7,52,7,8,23,5,2,6,5,41,3,17,1154,4,106,189,4941
"TN61A","Belkhir",7131,3041,2953,68,20,13,5,11,11,4,14,613,42,7,7,86,9,9,8,3,9,20,12,10,4,16,3,5,1707,8,233,84,2953
"TN131","Ben Arous",18540,13469,13281,115,73,21,5,96,143,5,20,5337,1173,2,16,82,7,131,27,6,55,1,3,9,11,57,3,99,4402,27,264,1279,13281
"TN327","Benbla",14117,9418,9246,120,52,7,5,43,1085,12,25,4126,103,6,29,41,8,41,13,10,17,7,8,5,7,59,3,15,3129,8,214,220,9246
"TN524","Ben Guerdane",27932,16237,15974,211,52,14,11,34,75,35,45,2209,1242,26,17,174,12,94,34,55,39,72,19,14,18,56,23,43,10815,27,458,313,15974
"TN325","Beni Hassen",7207,4394,4317,43,34,4,3,26,183,5,5,2946,45,2,18,27,3,43,4,5,9,4,6,6,4,28,3,15,707,8,75,133,4317
"TN523","Beni Khadech",12587,7557,7371,144,42,20,4,8,44,20,26,784,188,16,21,36,15,43,23,29,21,46,16,20,7,50,19,15,5259,6,545,90,7371
