"","id","name_latin","id_cg","pop_t_2014","log_t_2014","log_hosp_1k_2014","log_hosp_2k_2014","log_hosp_2k._2014","txlgt"
"1","TN111","Carthage","TS1110",24216,8245,6.09806164,28.60446699,65.29747137,34
"2","TN112","La  Medina","TS1111",21400,7431,44.9593595,45.43553305,9.605107446,34.7
"3","TN113","Bab Bhar","TS1112",36210,14970,16.56988141,45.61311029,37.8170083,41.3
"4","TN114","Bab Souika","TS1113",29185,9782,37.57802533,61.10921381,1.312760861,33.5
"5","TN115","Elomrane","TS1114",42208,13049,52.0904036,40.44864618,7.460950214,30.9
"6","TN116","Elomrane Supérieur","TS1115",55513,17715,5.202173731,15.63166719,79.16615908,31.9
"7","TN117","Ettahrir","TS1116",21709,6989,4.624388743,10.68063743,84.69497383,32.2
"8","TN118","El Menzah","TS1117",41830,15645,13.67914252,38.90384877,47.41700871,37.4
"9","TN119","Cité Elkhadra","TS1118",35173,12790,36.98318323,53.76622433,9.250592439,36.4
"10","TN11A","Le Bardo","TS1119",71961,24105,9.385309069,46.24895625,44.36573468,33.5
"11","TN11B","Sijoumi","TS111A",33870,8769,18.88266591,68.2840898,12.83324428,25.9
"12","TN11C","Ezzouhour","TS111B",40728,12208,8.281971237,81.41635744,10.30167133,30
"13","TN11D","Elhrairia","TS111C",110184,32283,5.371733642,12.64646478,81.98180158,29.3
"14","TN11E","Sidi Hassine","TS111D",109672,31082,5.140990994,7.900701566,86.95830744,28.3
"15","TN11F","El Ourdia","TS111E",32147,9390,9.295256977,75.59043785,15.11430518,29.2
"16","TN11G","El Kabaria","TS111F",86024,24844,6.936603743,51.70108273,41.36231353,28.9
"17","TN11H","Sidi El Bechir","TS111G",27749,9207,75.87754569,24.02372168,0.098732628,33.2
"18","TN11I","Djbel Djloud","TS111H",23638,6747,6.222669882,44.05750098,49.71982914,28.5
"19","TN11J","La Goulette","TS111I",45711,17930,12.62574373,40.77823827,46.59601801,39.2
"20","TN11K","lE Kram","TS111J",74132,26980,9.071962603,63.60617949,27.3218579,36.4
