"","Code_Del","Délégation"
"1",101,"El-Hrairia"
"80",102,"Ezzouhour"
"118",103,"Essijoumi"
"132",104,"El-Kabaria"
"200",105,"Al-Madina"
"228",106,"El-Wardia"
"260",107,"Bab Bhar"
"309",108,"Bab Souika"
"340",109,"Jebel-Jeloud"
"363",110,"Sidi-El-Bechir"
"390",111,"Sidi-Hassine"
"456",201,"Ettahrir"
"479",202,"Omrane"
"514",203,"Omrane Supérieur"
"567",204,"Kram"
"618",205,"Marsa"
"707",206,"ElMenzah"
"759",207,"Bardo"
"838",208,"La Goulette"
"878",209,"Cité Khadra"
"913",210,"Carthage"
"950",301,"Ezzaahra"
"986",302,"Mhamdia"
"1031",303,"Madina Jdida"
"1081",304,"Mourouj"
"1169",305,"Ben Arous"
"1205",306,"Boumhel"
"1237",307,"Hammam-Lif"
"1277",308,"Hamem Chatt"
"1309",309,"Rades"
"1361",310,"Fouchena"
"1418",311,"Mornag"
"1480",312,"Megrine"
"1511",401,"Ariana Madina"
"1646",402,"Mnihla"
"1700",403,"Cité Tadhamon"
"1760",404,"Raoued"
"1830",405,"Sokra"
"1917",406,"Sidi Thabet"
"1937",407,"Kalaat Andalous"
"1957",501,"El-Batan"
"1973",502,"Jedeida"
"2012",503,"Mornaguia"
"2050",504,"Borj El-Amri"
"2068",505,"Douar Hicher"
"2121",506,"Tebourba"
"2160",507,"Manouba"
"2229",508,"Oued Elil"
"2283",601,"Balta"
"2319",602,"Bousalem"
"2356",603,"Jendouba"
"2421",604,"Jendouba Nord"
"2459",605,"Tabarka"
"2512",606,"Ain Drahim"
"2553",607,"Ghar Dimaa"
"2606",608,"Fernena"
"2650",609,"Oued Meliz"
"2670",701,"Jrissa"
"2688",702,"Dahmeni"
"2718",703,"Sers"
"2734",704,"Ksour"
"2755",705,"Kalaa Khasba"
"2766",706,"Kef Charkia"
"2817",707,"Kef Gharbia"
"2848",708,"Tajerouin"
"2882",709,"Sakiet Sidi Youssef"
"2907",710,"Kalaat Sinen"
"2927",711,"Neber"
